nohup: ignoring input
[progress] wrote=2630000 skipped=67480 rows/sec=3507.0
[progress] wrote=2640000 skipped=67741 rows/sec=3514.9
[progress] wrote=2650000 skipped=67994 rows/sec=3522.8
[progress] wrote=2660000 skipped=68275 rows/sec=3530.5
[progress] wrote=2670000 skipped=68521 rows/sec=3538.3
[progress] wrote=2680000 skipped=68790 rows/sec=3546.1
[progress] wrote=2690000 skipped=69029 rows/sec=3553.8
[progress] wrote=2700000 skipped=69277 rows/sec=3561.5
[progress] wrote=2710000 skipped=69534 rows/sec=3569.2
[progress] wrote=2720000 skipped=69800 rows/sec=3576.8
[progress] wrote=2730000 skipped=70057 rows/sec=3584.4
[progress] wrote=2740000 skipped=70314 rows/sec=3537.5
[progress] wrote=2750000 skipped=70580 rows/sec=3544.8
[progress] wrote=2760000 skipped=70829 rows/sec=3552.2
[progress] wrote=2770000 skipped=71109 rows/sec=3559.6
[progress] wrote=2780000 skipped=71361 rows/sec=3567.1
[progress] wrote=2790000 skipped=71620 rows/sec=3574.5
[progress] wrote=2800000 skipped=71862 rows/sec=3581.8
[progress] wrote=2810000 skipped=72108 rows/sec=3589.1
[progress] wrote=2820000 skipped=72356 rows/sec=3596.3
[progress] wrote=2830000 skipped=72640 rows/sec=3603.6
[progress] wrote=2840000 skipped=72882 rows/sec=3610.8
[progress] wrote=2850000 skipped=73133 rows/sec=3618.0
[progress] wrote=2860000 skipped=73386 rows/sec=3625.2
[progress] wrote=2870000 skipped=73639 rows/sec=3632.4
[progress] wrote=2880000 skipped=73888 rows/sec=3639.6
[progress] wrote=2890000 skipped=74131 rows/sec=3559.0
[progress] wrote=2900000 skipped=74395 rows/sec=3566.1
[progress] wrote=2910000 skipped=74652 rows/sec=3573.2
[progress] wrote=2920000 skipped=74920 rows/sec=3580.2
[progress] wrote=2930000 skipped=75161 rows/sec=3587.3
[progress] wrote=2940000 skipped=75397 rows/sec=3594.3
[progress] wrote=2950000 skipped=75674 rows/sec=3601.3
[progress] wrote=2960000 skipped=75910 rows/sec=3608.3
[progress] wrote=2970000 skipped=76162 rows/sec=3615.3
[progress] wrote=2980000 skipped=76408 rows/sec=3622.3
[progress] wrote=2990000 skipped=76690 rows/sec=3629.2
[progress] wrote=3000000 skipped=76925 rows/sec=3636.2
[progress] wrote=3010000 skipped=77180 rows/sec=3643.1
[progress] wrote=3020000 skipped=77455 rows/sec=3650.0
[progress] wrote=3030000 skipped=77692 rows/sec=3656.9
[progress] wrote=3040000 skipped=77976 rows/sec=3582.2
[progress] wrote=3050000 skipped=78206 rows/sec=3588.9
[progress] wrote=3060000 skipped=78519 rows/sec=3595.6
[progress] wrote=3070000 skipped=78763 rows/sec=3602.4
[progress] wrote=3080000 skipped=79007 rows/sec=3609.2
[progress] wrote=3090000 skipped=79280 rows/sec=3615.8
[progress] wrote=3100000 skipped=79510 rows/sec=3622.6
[progress] wrote=3110000 skipped=79752 rows/sec=3629.3
[progress] wrote=3120000 skipped=79992 rows/sec=3636.0
[progress] wrote=3130000 skipped=80257 rows/sec=3642.6
[progress] wrote=3140000 skipped=80503 rows/sec=3649.2
[progress] wrote=3150000 skipped=80759 rows/sec=3655.9
[progress] wrote=3160000 skipped=81035 rows/sec=3662.4
[progress] wrote=3170000 skipped=81297 rows/sec=3669.0
[progress] wrote=3180000 skipped=81543 rows/sec=3675.6
[progress] wrote=3190000 skipped=81820 rows/sec=3682.1
[progress] wrote=3200000 skipped=82086 rows/sec=3571.0
[progress] wrote=3210000 skipped=82329 rows/sec=3577.4
[progress] wrote=3220000 skipped=82582 rows/sec=3583.8
[progress] wrote=3230000 skipped=82862 rows/sec=3590.2
[progress] wrote=3240000 skipped=83125 rows/sec=3596.5
[progress] wrote=3250000 skipped=83378 rows/sec=3602.8
[progress] wrote=3260000 skipped=83623 rows/sec=3609.1
[progress] wrote=3270000 skipped=83904 rows/sec=3615.4
[progress] wrote=3280000 skipped=84147 rows/sec=3621.8
[progress] wrote=3290000 skipped=84393 rows/sec=3628.1
[progress] wrote=3300000 skipped=84640 rows/sec=3634.4
[progress] wrote=3310000 skipped=84882 rows/sec=3640.7
[progress] wrote=3320000 skipped=85131 rows/sec=3647.0
[progress] wrote=3330000 skipped=85429 rows/sec=3653.3
[progress] wrote=3340000 skipped=85673 rows/sec=3659.5
[progress] wrote=3350000 skipped=85917 rows/sec=3587.4
[progress] wrote=3360000 skipped=86150 rows/sec=3593.6
[progress] wrote=3370000 skipped=86388 rows/sec=3599.7
[progress] wrote=3380000 skipped=86655 rows/sec=3605.8
[progress] wrote=3390000 skipped=86907 rows/sec=3611.9
[progress] wrote=3400000 skipped=87182 rows/sec=3618.0
[progress] wrote=3410000 skipped=87440 rows/sec=3624.1
[progress] wrote=3420000 skipped=87670 rows/sec=3630.2
[progress] wrote=3430000 skipped=87925 rows/sec=3636.3
[progress] wrote=3440000 skipped=88181 rows/sec=3642.4
[progress] wrote=3450000 skipped=88461 rows/sec=3648.5
[progress] wrote=3460000 skipped=88726 rows/sec=3654.5
[progress] wrote=3470000 skipped=88989 rows/sec=3660.6
[progress] wrote=3480000 skipped=89239 rows/sec=3666.5
[progress] wrote=3490000 skipped=89497 rows/sec=3672.5
[progress] wrote=3500000 skipped=89761 rows/sec=3629.9
[progress] wrote=3510000 skipped=90027 rows/sec=3635.8
[progress] wrote=3520000 skipped=90287 rows/sec=3641.7
[progress] wrote=3530000 skipped=90549 rows/sec=3647.6
[progress] wrote=3540000 skipped=90797 rows/sec=3653.5
[progress] wrote=3550000 skipped=91032 rows/sec=3659.4
[progress] wrote=3560000 skipped=91279 rows/sec=3665.2
[progress] wrote=3570000 skipped=91554 rows/sec=3671.1
[progress] wrote=3580000 skipped=91824 rows/sec=3676.9
[progress] wrote=3590000 skipped=92094 rows/sec=3682.7
[progress] wrote=3600000 skipped=92360 rows/sec=3688.4
[progress] wrote=3610000 skipped=92604 rows/sec=3694.2
[progress] wrote=3620000 skipped=92852 rows/sec=3700.0
